text,intent,emotion,text_length,processed_text,processed_length
honestly everyone seems busy without me and i need help,loneliness,down,55,honestly everyone seems busy without need help,46
at night hey can you listen to me right now,greeting,content,43,night hey listen right,22
sometimes my relationship is stressful and it is affecting me,relationship,confused,61,sometimes relationship stressful affecting,42
i am angry at my friend today,anger,frustrated,29,angry friend today,18
in class i had a good day and it is affecting me,positive,happy,48,class good day affecting,24
honestly i need help planning my studies lately,academic_pressure,anxious,47,honestly need help planning study lately,40
i feel panic building up and i feel stuck,anxiety,anxious,41,feel panic building feel stuck,30
at night i feel rejected lately,relationship,confused,31,night feel rejected lately,26
can we talk because it keeps happening,greeting,neutral,38,talk keep happening,19
i feel useless,self_esteem,insecure,14,feel useless,12
recently hey there right now,greeting,content,28,recently hey right,18
sometimes thank you for listening please help me,gratitude,content,48,sometimes thank listening please help,37
sometimes i am stressed because of exams but i do not know what to do,academic_pressure,worried,69,sometimes stressed exam know,28
honestly i need company today,loneliness,sad,29,honestly need company today,27
in class i cannot handle all this pressure and i feel stuck,stress,tired,59,class handle pressure feel stuck,32
honestly i feel stressed please help me,stress,overwhelmed,39,honestly feel stressed please help,34
at night i am happy today please help me,positive,content,40,night happy today please help,29
in class i doubt myself and i want to feel better,self_esteem,confused,49,class doubt want feel better,28
in class someone made me furious lately,anger,frustrated,39,class someone made furious lately,33
at home i feel like i am not good enough lately,self_esteem,hopeless,47,home feel like good enough lately,33
i keep overthinking at night because it keeps happening,sleep,anxious,55,keep overthinking night keep happening,38
i feel hopeless right now and i need help,sadness,upset,41,feel hopeless right need help,29
i feel exhausted every morning right now,sleep,anxious,40,feel exhausted every morning right,34
at home i feel better now because it keeps happening,positive,determined,52,home feel better keep happening,31
at night i miss having someone close because it keeps happening,loneliness,sad,63,night miss someone close keep happening,39
recently i need a break,stress,overwhelmed,23,recently need break,19
honestly i feel exhausted every morning and it is affecting me,sleep,anxious,62,honestly feel exhausted every morning affecting,47
at night i wake up tired please help me,sleep,stressed,39,night wake tired please help,28
in class i feel like a failure and i need help,self_esteem,insecure,46,class feel like failure need help,33
recently i cannot believe in myself please help me,self_esteem,insecure,50,recently believe please help,28
recently i feel hopeful and i feel stuck,positive,content,40,recently feel hopeful feel stuck,32
recently my thoughts are moving too fast lately,anxiety,nervous,47,recently thought moving fast lately,35
recently how can i pass my exams because it keeps happening,academic_pressure,stressed,59,recently pas exam keep happening,32
at night i hate how i look,self_esteem,hopeless,26,night hate look,15
recently i sleep too late please help me,sleep,tired,40,recently sleep late please help,31
sometimes i need company because it keeps happening,loneliness,lonely,51,sometimes need company keep happening,37
sometimes i feel hopeful right now,positive,determined,34,sometimes feel hopeful right,28
at home i have no one to share this with today,loneliness,down,46,home one share today,20
recently i need help planning my studies lately,academic_pressure,overwhelmed,47,recently need help planning study lately,40
honestly i need company but i do not know what to do,loneliness,down,52,honestly need company know,26
at home i feel lonely please help me,loneliness,sad,36,home feel lonely please help,28
at night good evening right now,greeting,happy,31,night good evening right,24
recently i am thankful for my friends lately,gratitude,content,44,recently thankful friend lately,31
at night hi today,greeting,neutral,17,night hi today,14
at home i am scared i will disappoint everyone please help me,self_esteem,insecure,61,home scared disappoint everyone please help,43
at night i have too many responsibilities please help me,stress,stressed,56,night many responsibility please help,37
honestly good evening,greeting,neutral,21,honestly good evening,21
in class i am getting mad lately,anger,frustrated,32,class getting mad lately,24
exam pressure is overwhelming lately,academic_pressure,worried,36,exam pressure overwhelming lately,33
my sleep is disturbed and i want to feel better,sleep,anxious,47,sleep disturbed want feel better,32
sometimes i want to hit something and i want to feel better,anger,frustrated,59,sometimes want hit something want feel better,45
i am worried about my grades,academic_pressure,worried,28,worried grade,13
honestly i need a small step to begin but i do not know what to do,motivation,hopeful,66,honestly need small step begin know,35
in class i am excited about tomorrow but i do not know what to do,positive,hopeful,65,class excited tomorrow know,27
recently i feel calm today these days,positive,happy,37,recently feel calm today day,28
at night i feel more confident and it is affecting me,positive,hopeful,53,night feel confident affecting,30
at home i am getting mad but i do not know what to do,anger,upset,53,home getting mad know,21
in class i finally made progress because it keeps happening,positive,hopeful,59,class finally made progress keep happening,42
honestly i feel forgotten and i feel stuck,loneliness,lonely,42,honestly feel forgotten feel stuck,34
recently i feel anxious,anxiety,anxious,23,recently feel anxious,21
sometimes i need motivation and it is affecting me,motivation,determined,50,sometimes need motivation affecting,35
in class i want to hit something and i feel stuck,anger,upset,49,class want hit something feel stuck,35
at night exam pressure is overwhelming,academic_pressure,stressed,38,night exam pressure overwhelming,32
in class good morning because it keeps happening,greeting,happy,48,class good morning keep happening,33
thanks that helped me and it is affecting me,gratitude,content,44,thanks helped affecting,23
at night i am thankful for my friends,gratitude,happy,37,night thankful friend,21
i sleep too late and it is affecting me,sleep,tired,39,sleep late affecting,20
in class i feel burned out today,stress,tired,32,class feel burned today,23
they do not understand me today,relationship,confused,31,understand today,16
recently i feel peaceful right now and i need help,positive,hopeful,50,recently feel peaceful right need help,38
at night my friend ignored me and it is affecting me,relationship,worried,52,night friend ignored affecting,30
recently someone made me furious because it keeps happening,anger,frustrated,59,recently someone made furious keep happening,44
at night nobody talks to me and i feel stuck,loneliness,down,44,night nobody talk feel stuck,28
at home i feel rejected and i need help,relationship,worried,39,home feel rejected need help,28
at night i am grateful for small things today lately,gratitude,content,52,night grateful small thing today lately,39
sometimes i appreciate your help and it is affecting me,gratitude,content,55,sometimes appreciate help affecting,35
in class i am happy today and i want to feel better,positive,hopeful,51,class happy today want feel better,34
recently i feel left out lately,loneliness,lonely,31,recently feel left lately,25
recently good morning today,greeting,happy,27,recently good morning today,27
recently i feel pressure from every side right now,stress,frustrated,50,recently feel pressure every side right,39
at night i feel nervous today and i feel stuck,anxiety,overwhelmed,46,night feel nervous today feel stuck,35
recently i feel panic building up and it is affecting me,anxiety,worried,56,recently feel panic building affecting,38
i procrastinated and exams are near and i feel stuck,academic_pressure,stressed,52,procrastinated exam near feel stuck,35
i feel empty inside and i want to feel better,sadness,down,45,feel empty inside want feel better,34
in class i cannot stop crying right now,sadness,depressed,39,class stop cry right,20
at night i cannot stop crying because it keeps happening,sadness,hopeless,56,night stop cry keep happening,29
honestly i am worried something bad will happen right now,anxiety,overwhelmed,57,honestly worried something bad happen right,43
at night my assignments are too much and i feel stuck,academic_pressure,stressed,53,night assignment much feel stuck,32
in class thanks for being here and i need help,gratitude,happy,46,class thanks need help,22
at night i feel exhausted every morning and i need help,sleep,anxious,55,night feel exhausted every morning need help,44
sometimes i appreciate my family these days,gratitude,happy,43,sometimes appreciate family day,31
thank you for listening and i need help,gratitude,happy,39,thank listening need help,25
recently how can i pass my exams and it is affecting me,academic_pressure,stressed,55,recently pas exam affecting,27
sometimes i am thankful for my friends because it keeps happening,gratitude,content,65,sometimes thankful friend keep happening,40
honestly help me stay consistent and i feel stuck,motivation,hopeful,49,honestly help stay consistent feel stuck,40
sometimes i am angry and i feel stuck,anger,angry,37,sometimes angry feel stuck,26
at home i keep overthinking at night and i need help,sleep,anxious,52,home keep overthinking night need help,38
recently i feel isolated and i need help,loneliness,down,40,recently feel isolated need help,32
honestly nothing feels good today because it keeps happening,sadness,upset,60,honestly nothing feel good today keep happening,47
recently i feel stressed lately,stress,frustrated,31,recently feel stressed lately,29
honestly i am excited about tomorrow today,positive,content,42,honestly excited tomorrow today,31
work is overwhelming and it is affecting me,stress,stressed,43,work overwhelming affecting,27
honestly i feel like shouting,anger,upset,29,honestly feel like shouting,27
recently i feel nervous today because it keeps happening,anxiety,anxious,56,recently feel nervous today keep happening,42
honestly i feel lucky to have support because it keeps happening,gratitude,grateful,64,honestly feel lucky support keep happening,42
at home my relationship is stressful and i want to feel better,relationship,upset,62,home relationship stressful want feel better,44
at home i finally made progress right now,positive,happy,41,home finally made progress right,32
at home my friend ignored me but i do not know what to do,relationship,confused,57,home friend ignored know,24
at home i want to improve myself these days,motivation,hopeful,43,home want improve day,21
recently someone close disappointed me and i feel stuck,relationship,confused,55,recently someone close disappointed feel stuck,46
recently i feel anxious today,anxiety,overwhelmed,29,recently feel anxious today,27
i hate how i look and it is affecting me,self_esteem,insecure,40,hate look affecting,19
honestly hey there today,greeting,happy,24,honestly hey today,18
recently i am worried something bad will happen and i need help,anxiety,worried,63,recently worried something bad happen need help,47
recently i had a good day and i feel stuck,positive,determined,42,recently good day feel stuck,28
honestly i cannot believe in myself today,self_esteem,sad,41,honestly believe today,22
sometimes my assignments are too much and i feel stuck,academic_pressure,overwhelmed,54,sometimes assignment much feel stuck,36
recently i miss having someone close because it keeps happening,loneliness,lonely,63,recently miss someone close keep happening,42
i feel down for no reason,sadness,hopeless,25,feel reason,11
recently are you there please help me,greeting,happy,37,recently please help,20
recently i am worried about my grades these days,academic_pressure,stressed,48,recently worried grade day,26
at night my sleep is disturbed,sleep,tired,30,night sleep disturbed,21
recently i need motivation right now,motivation,tired,36,recently need motivation right,30
my relationship is stressful these days,relationship,confused,39,relationship stressful day,26
at home hello right now,greeting,content,23,home hello right,16
recently hello and it is affecting me,greeting,content,37,recently hello affecting,24
honestly i cannot stop overthinking because it keeps happening,anxiety,anxious,62,honestly stop overthinking keep happening,41
i am grateful for small things today today,gratitude,happy,42,grateful small thing today today,32
honestly i feel nervous today please help me,anxiety,anxious,44,honestly feel nervous today please help,39
honestly my heart is racing because it keeps happening,anxiety,nervous,54,honestly heart racing keep happening,36
at home hi because it keeps happening,greeting,content,37,home hi keep happening,22
my assignments are too much but i do not know what to do,academic_pressure,stressed,56,assignment much know,20
at night i have trouble falling asleep and i need help,sleep,tired,54,night trouble falling asleep need help,38
at home i cannot relax at bedtime and i want to feel better,sleep,anxious,59,home relax bedtime want feel better,35
in class i feel hurt by someone i love and i need help,relationship,sad,54,class feel hurt someone love need help,38
in class i need better sleep today,sleep,anxious,34,class need better sleep today,29
in class i feel frustrated with everyone because it keeps happening,anger,frustrated,67,class feel frustrated everyone keep happening,45
recently i feel sad today and it is affecting me,sadness,hopeless,48,recently feel sad today affecting,33
recently i cannot sleep right now,sleep,tired,33,recently sleep right,20
in class someone made me furious but i do not know what to do,anger,angry,61,class someone made furious know,31
recently they do not understand me and i want to feel better,relationship,worried,60,recently understand want feel better,36
in class help me stay consistent please help me,motivation,neutral,47,class help stay consistent please help,38
at home my relationship is stressful lately,relationship,sad,43,home relationship stressful lately,34
honestly i hate how i look,self_esteem,confused,26,honestly hate look,18
at home i feel like shouting and i want to feel better,anger,angry,54,home feel like shouting want feel better,40
recently i feel more confident please help me,positive,determined,45,recently feel confident please help,35
in class i am worried about my grades please help me,academic_pressure,overwhelmed,52,class worried grade please help,31
at home good evening and i want to feel better,greeting,content,46,home good evening want feel better,34
sometimes i have too many responsibilities,stress,overwhelmed,42,sometimes many responsibility,29
honestly i cannot relax at bedtime please help me,sleep,stressed,49,honestly relax bedtime please help,34
in class i am thankful for my friends today,gratitude,grateful,43,class thankful friend today,27
in class thank you for listening right now,gratitude,grateful,42,class thank listening right,27
honestly i feel anxious and i need help,anxiety,worried,39,honestly feel anxious need help,31
recently i am angry today,anger,upset,25,recently angry today,20
i am happy today but i do not know what to do,positive,content,45,happy today know,16
my thoughts are moving too fast and it is affecting me,anxiety,worried,54,thought moving fast affecting,29
i want to keep going and i want to feel better,motivation,hopeful,46,want keep going want feel better,32
at night i am scared i will disappoint everyone and i need help,self_esteem,insecure,63,night scared disappoint everyone need help,42
at home i feel frustrated with everyone because it keeps happening,anger,angry,66,home feel frustrated everyone keep happening,44
at home i feel worthless sometimes lately,self_esteem,confused,41,home feel worthless sometimes lately,36
honestly my mind stays awake because it keeps happening,sleep,stressed,55,honestly mind stay awake keep happening,39
i feel hopeless right now and i need help,sadness,down,41,feel hopeless right need help,29
honestly i am proud of myself but i do not know what to do,positive,content,58,honestly proud know,19
in class everything feels like too much these days,stress,frustrated,50,class everything feel like much day,35
recently i feel isolated and i want to feel better,loneliness,lonely,50,recently feel isolated want feel better,39
at night i have no one to share this with right now,loneliness,sad,51,night one share right,21
sometimes i am excited about tomorrow but i do not know what to do,positive,hopeful,66,sometimes excited tomorrow know,31
my thoughts are moving too fast please help me,anxiety,overwhelmed,46,thought moving fast please help,31
i feel aggressive right now lately,anger,angry,34,feel aggressive right lately,28
recently they do not understand me and it is affecting me,relationship,confused,57,recently understand affecting,29
recently work is overwhelming because it keeps happening,stress,stressed,56,recently work overwhelming keep happening,41
sometimes thanks for being here these days,gratitude,content,42,sometimes thanks day,20
at home i am worried something bad will happen today,anxiety,anxious,52,home worried something bad happen today,39
sometimes i feel empty inside and it is affecting me,sadness,sad,52,sometimes feel empty inside affecting,37
sometimes i am scared about the future because it keeps happening,anxiety,overwhelmed,65,sometimes scared future keep happening,38
at home i am afraid of failing but i do not know what to do,academic_pressure,overwhelmed,59,home afraid failing know,24
sometimes i am tired of dealing with problems and i feel stuck,stress,overwhelmed,62,sometimes tired dealing problem feel stuck,42
at night i feel burned out and i feel stuck,stress,stressed,43,night feel burned feel stuck,28
at home i feel frustrated with everyone but i do not know what to do,anger,upset,68,home feel frustrated everyone know,34
sometimes i appreciate your help and it is affecting me,gratitude,happy,55,sometimes appreciate help affecting,35
honestly i keep comparing myself to others and i need help,self_esteem,hopeless,58,honestly keep comparing others need help,40
at night i finally made progress right now,positive,determined,42,night finally made progress right,33
recently my heart feels heavy,sadness,down,29,recently heart feel heavy,25
recently i cannot believe in myself because it keeps happening,self_esteem,sad,62,recently believe keep happening,31
i feel like shouting but i do not know what to do,anger,angry,49,feel like shouting know,23
at night i feel frustrated with everyone and i feel stuck,anger,angry,57,night feel frustrated everyone feel stuck,41
recently i am getting mad lately,anger,upset,32,recently getting mad lately,27
recently are you there and i want to feel better,greeting,neutral,48,recently want feel better,25
recently nothing feels good today lately,sadness,upset,40,recently nothing feel good today lately,39
at night i appreciate my family these days,gratitude,grateful,42,night appreciate family day,27
recently work is overwhelming but i do not know what to do,stress,tired,58,recently work overwhelming know,31
honestly i feel lucky to have support because it keeps happening,gratitude,happy,64,honestly feel lucky support keep happening,42
at night i feel better now and i feel stuck,positive,happy,43,night feel better feel stuck,28
honestly hey can you listen to me but i do not know what to do,greeting,happy,62,honestly hey listen know,24
in class hi because it keeps happening,greeting,happy,38,class hi keep happening,23
at night i need help planning my studies and it is affecting me,academic_pressure,stressed,63,night need help planning study affecting,40
at home i have trouble falling asleep these days,sleep,anxious,48,home trouble falling asleep day,31
at home i hate how i look,self_esteem,hopeless,25,home hate look,14
sometimes i need company and i feel stuck,loneliness,down,41,sometimes need company feel stuck,33
i finally made progress lately,positive,determined,30,finally made progress lately,28
recently my relationship is stressful lately,relationship,upset,44,recently relationship stressful lately,38
in class i feel like shouting these days,anger,angry,40,class feel like shouting day,28
at night i cannot relax at bedtime these days,sleep,stressed,45,night relax bedtime day,23
at home my relationship is stressful and i want to feel better,relationship,worried,62,home relationship stressful want feel better,44
i cannot control my anger right now,anger,angry,35,control anger right,19
honestly hey there right now,greeting,neutral,28,honestly hey right,18
at night i want to cry please help me,sadness,upset,37,night want cry please help,26
recently thank you i feel supported because it keeps happening,gratitude,content,62,recently thank feel supported keep happening,44
honestly i doubt myself today,self_esteem,insecure,29,honestly doubt today,20
at home i feel peaceful right now lately,positive,determined,40,home feel peaceful right lately,31
at home i feel exhausted every morning because it keeps happening,sleep,tired,65,home feel exhausted every morning keep happening,48
at night i need motivation and i feel stuck,motivation,determined,43,night need motivation feel stuck,32
someone close disappointed me please help me,relationship,sad,44,someone close disappointed please help,38
honestly i want to keep going and i want to feel better,motivation,hopeful,55,honestly want keep going want feel better,41
at night i feel nervous today but i do not know what to do,anxiety,worried,58,night feel nervous today know,29
recently i want to build better habits and i need help,motivation,hopeful,54,recently want build better habit need help,42
at home i feel calm today and i need help,positive,hopeful,41,home feel calm today need help,30
at night i need motivation,motivation,determined,26,night need motivation,21
honestly i feel pressure from every side and i feel stuck,stress,stressed,57,honestly feel pressure every side feel stuck,44
at night my heart feels heavy right now,sadness,sad,39,night heart feel heavy right,28
sometimes i appreciate my family but i do not know what to do,gratitude,grateful,61,sometimes appreciate family know,32
recently i need someone to talk to and i need help,greeting,neutral,50,recently need someone talk need help,36
in class i feel anxious because it keeps happening,anxiety,overwhelmed,50,class feel anxious keep happening,33
recently i am angry upon you but i do not know what to do,anger,upset,57,recently angry upon know,24
in class i feel lonely lately,loneliness,sad,29,class feel lonely lately,24
recently everything feels like too much but i do not know what to do,stress,stressed,68,recently everything feel like much know,39
sometimes i am tired of dealing with problems because it keeps happening,stress,stressed,72,sometimes tired dealing problem keep happening,46
honestly help me stay consistent but i do not know what to do,motivation,determined,61,honestly help stay consistent know,34
recently i feel frustrated with everyone,anger,frustrated,40,recently feel frustrated everyone,33
sometimes i am getting mad and i feel stuck,anger,frustrated,43,sometimes getting mad feel stuck,32
at night i had a good day and it is affecting me,positive,hopeful,48,night good day affecting,24
at home hello because it keeps happening,greeting,content,40,home hello keep happening,25
honestly i feel lonely and it is affecting me,loneliness,down,45,honestly feel lonely affecting,30
help me stay consistent today,motivation,tired,29,help stay consistent today,26
at night i cannot believe in myself,self_esteem,insecure,35,night believe,13
in class i appreciate my family these days,gratitude,happy,42,class appreciate family day,27
sometimes hello i want to chat,greeting,content,30,sometimes hello want chat,25
honestly i want to feel better please help me,motivation,tired,45,honestly want feel better please help,37
i doubt myself and i need help,self_esteem,confused,30,doubt need help,15
at night i do not feel confident please help me,self_esteem,confused,47,night feel confident please help,32
in class i feel panic building up and i want to feel better,anxiety,overwhelmed,59,class feel panic building want feel better,42
recently nothing feels good today please help me,sadness,hopeless,48,recently nothing feel good today please help,44
sometimes i feel depressed today because it keeps happening,sadness,depressed,59,sometimes feel depressed today keep happening,45
hey can you listen to me but i do not know what to do,greeting,happy,53,hey listen know,15
in class i am sad and tired these days,sadness,sad,38,class sad tired day,19
can we talk these days,greeting,content,22,talk day,8
honestly i feel depressed today but i do not know what to do,sadness,sad,60,honestly feel depressed today know,34
nothing feels good today today,sadness,down,30,nothing feel good today today,29
at home i need a break lately,stress,tired,29,home need break lately,22
recently i feel rejected and i want to feel better,relationship,upset,50,recently feel rejected want feel better,39
recently i am angry at my friend and i feel stuck,anger,upset,49,recently angry friend feel stuck,32
i feel forgotten right now,loneliness,sad,26,feel forgotten right,20
sometimes i am grateful for small things today because it keeps happening,gratitude,grateful,73,sometimes grateful small thing today keep happening,51
recently can we talk but i do not know what to do,greeting,content,49,recently talk know,18
honestly i am worried something bad will happen and i need help,anxiety,anxious,63,honestly worried something bad happen need help,47
at night good evening,greeting,happy,21,night good evening,18
honestly they do not understand me and i want to feel better,relationship,sad,60,honestly understand want feel better,36
recently everything feels like too much right now,stress,overwhelmed,49,recently everything feel like much right,40
at home thank you for listening but i do not know what to do,gratitude,happy,60,home thank listening know,25
honestly i need help planning my studies,academic_pressure,stressed,40,honestly need help planning study,33
at night thanks for being here please help me,gratitude,grateful,45,night thanks please help,24
i want to build better habits and i need help,motivation,hopeful,45,want build better habit need help,33
in class i feel depressed today and i need help,sadness,depressed,47,class feel depressed today need help,36
at night i feel lucky to have support lately,gratitude,content,44,night feel lucky support lately,31
at night i want to feel better and i want to feel better,motivation,determined,56,night want feel better want feel better,39
sometimes i keep comparing myself to others and i feel stuck,self_esteem,hopeless,60,sometimes keep comparing others feel stuck,42
i appreciate my family lately,gratitude,content,29,appreciate family lately,24
sometimes i need company lately,loneliness,lonely,31,sometimes need company lately,29
at night i cannot control my anger and i want to feel better,anger,upset,60,night control anger want feel better,36
recently i feel like i am not good enough today,self_esteem,confused,47,recently feel like good enough today,36
honestly my friend ignored me and i need help,relationship,upset,45,honestly friend ignored need help,33
honestly i feel hurt by someone i love because it keeps happening,relationship,upset,65,honestly feel hurt someone love keep happening,46
sometimes how can i pass my exams and i want to feel better,academic_pressure,worried,59,sometimes pas exam want feel better,35
at night my friend ignored me,relationship,upset,29,night friend ignored,20
honestly i feel lucky to have support and i feel stuck,gratitude,grateful,54,honestly feel lucky support feel stuck,38
in class i want to improve myself today,motivation,hopeful,39,class want improve today,24
honestly i feel isolated and i need help,loneliness,lonely,40,honestly feel isolated need help,32
recently my assignments are too much but i do not know what to do,academic_pressure,stressed,65,recently assignment much know,29
honestly nothing feels good today,sadness,hopeless,33,honestly nothing feel good today,32
i want to keep going,motivation,neutral,20,want keep going,15
recently i feel more confident and i need help,positive,hopeful,46,recently feel confident need help,33
i am angry lately,anger,upset,17,angry lately,12
recently i had a good day,positive,determined,25,recently good day,17
in class i feel better now lately,positive,happy,33,class feel better lately,24
recently are you there but i do not know what to do,greeting,neutral,51,recently know,13
recently i had a good day please help me,positive,determined,40,recently good day please help,29
at night i had a fight with someone close today,relationship,sad,47,night fight someone close today,31
recently i feel useless these days,self_esteem,sad,34,recently feel useless day,25
are you there lately,greeting,happy,20,lately,6
i am confused about my relationship because it keeps happening,relationship,worried,62,confused relationship keep happening,36
honestly i sleep too late and i want to feel better,sleep,anxious,51,honestly sleep late want feel better,36
recently i cannot sleep these days,sleep,tired,34,recently sleep day,18
sometimes i want to build better habits,motivation,neutral,39,sometimes want build better habit,33
honestly i need better sleep and i feel stuck,sleep,anxious,45,honestly need better sleep feel stuck,37
recently i am scared about the future right now,anxiety,worried,47,recently scared future right,28
at night work is overwhelming and it is affecting me,stress,tired,52,night work overwhelming affecting,33
my relationship is stressful and i feel stuck,relationship,upset,45,relationship stressful feel stuck,33
recently i need someone to talk to and i feel stuck,greeting,happy,51,recently need someone talk feel stuck,37
in class i am angry at my friend because it keeps happening,anger,frustrated,59,class angry friend keep happening,33
recently i do not know how to fix this relationship,relationship,sad,51,recently know fix relationship,30
recently i want to cry lately,sadness,depressed,29,recently want cry lately,24
in class i am stressed because of exams,academic_pressure,anxious,39,class stressed exam,19
recently i finally made progress and i need help,positive,content,48,recently finally made progress need help,40
at night i am getting mad and i need help,anger,frustrated,41,night getting mad need help,27
at night i feel burned out and i want to feel better,stress,frustrated,52,night feel burned want feel better,34
recently i am afraid of failing but i do not know what to do,academic_pressure,stressed,60,recently afraid failing know,28
recently i feel lazy but want to change and i want to feel better,motivation,determined,65,recently feel lazy want change want feel better,47
at night i need encouragement and i want to feel better,motivation,determined,55,night need encouragement want feel better,41
in class i need help planning my studies and it is affecting me,academic_pressure,anxious,63,class need help planning study affecting,40
at night i cannot relax at bedtime because it keeps happening,sleep,stressed,61,night relax bedtime keep happening,34
i miss my friend right now,relationship,upset,26,miss friend right,17
at home i need motivation and i need help,motivation,determined,41,home need motivation need help,30
at night i have too much study pressure these days,academic_pressure,anxious,50,night much study pressure day,29
at night they do not understand me and i feel stuck,relationship,upset,51,night understand feel stuck,27
sometimes i am worried about my grades and i want to feel better,academic_pressure,stressed,64,sometimes worried grade want feel better,40
sometimes i cannot relax at bedtime and i feel stuck,sleep,stressed,52,sometimes relax bedtime feel stuck,34
i feel burned out please help me,stress,overwhelmed,32,feel burned please help,23
recently i feel hopeless right now and i need help,sadness,hopeless,50,recently feel hopeless right need help,38
honestly i have trouble falling asleep and i feel stuck,sleep,anxious,55,honestly trouble falling asleep feel stuck,42
honestly i need someone to talk to but i do not know what to do,greeting,neutral,63,honestly need someone talk know,31
honestly i feel grateful today right now,gratitude,grateful,40,honestly feel grateful today right,34
in class i feel aggressive right now lately,anger,angry,43,class feel aggressive right lately,34
recently my heart is racing lately,anxiety,worried,34,recently heart racing lately,28
at home i want to feel better and i feel stuck,motivation,hopeful,46,home want feel better feel stuck,32
in class nothing feels good today lately,sadness,down,40,class nothing feel good today lately,36
at home thank you i feel supported and it is affecting me,gratitude,happy,57,home thank feel supported affecting,35
at home i want to cry but i do not know what to do,sadness,sad,50,home want cry know,18
honestly i hate how i look because it keeps happening,self_esteem,insecure,53,honestly hate look keep happening,33
in class i feel lazy but want to change these days,motivation,determined,50,class feel lazy want change day,31
at home i am excited about tomorrow and it is affecting me,positive,content,58,home excited tomorrow affecting,31
i feel empty inside and i need help,sadness,upset,35,feel empty inside need help,27
in class good evening but i do not know what to do,greeting,content,50,class good evening know,23
honestly thank you for listening and it is affecting me,gratitude,happy,55,honestly thank listening affecting,34
in class everything feels like too much but i do not know what to do,stress,overwhelmed,68,class everything feel like much know,36
honestly i need encouragement and i feel stuck,motivation,determined,46,honestly need encouragement feel stuck,38
recently i feel hopeful and i feel stuck,positive,hopeful,40,recently feel hopeful feel stuck,32
at night i sleep too late,sleep,anxious,25,night sleep late,16
honestly i am thankful for my friends because it keeps happening,gratitude,content,64,honestly thankful friend keep happening,39
honestly i have no one to share this with lately,loneliness,down,48,honestly one share lately,25
sometimes nothing feels good today,sadness,hopeless,34,sometimes nothing feel good today,33
good morning and i feel stuck,greeting,content,29,good morning feel stuck,23
i am worried something bad will happen and it is affecting me,anxiety,nervous,61,worried something bad happen affecting,38
i procrastinated and exams are near and i want to feel better,academic_pressure,stressed,61,procrastinated exam near want feel better,41
recently i am worried about my grades,academic_pressure,stressed,37,recently worried grade,22
honestly my heart is racing these days,anxiety,anxious,38,honestly heart racing day,25
honestly good evening and i feel stuck,greeting,neutral,38,honestly good evening feel stuck,32
at night someone close disappointed me and i feel stuck,relationship,worried,55,night someone close disappointed feel stuck,43
sometimes i cannot stop overthinking and i want to feel better,anxiety,anxious,62,sometimes stop overthinking want feel better,44
in class nobody talks to me and i feel stuck,loneliness,down,44,class nobody talk feel stuck,28
recently i feel worthless sometimes and i feel stuck,self_esteem,confused,52,recently feel worthless sometimes feel stuck,44
honestly i feel forgotten,loneliness,lonely,25,honestly feel forgotten,23
in class my heart feels heavy and i feel stuck,sadness,hopeless,46,class heart feel heavy feel stuck,33
recently i appreciate my family because it keeps happening,gratitude,content,58,recently appreciate family keep happening,41
sometimes i feel anxious but i do not know what to do,anxiety,nervous,53,sometimes feel anxious know,27
in class i need encouragement these days,motivation,tired,40,class need encouragement day,28
sometimes i feel hurt by someone i love because it keeps happening,relationship,sad,66,sometimes feel hurt someone love keep happening,47
in class my heart feels heavy today,sadness,down,35,class heart feel heavy today,28
at home hello i want to chat and i want to feel better,greeting,content,54,home hello want chat want feel better,37
at home help me stay consistent and it is affecting me,motivation,tired,54,home help stay consistent affecting,35
at home everything feels like too much right now,stress,tired,48,home everything feel like much right,36
sometimes i feel like shouting please help me,anger,angry,45,sometimes feel like shouting please help,40
in class i want to build better habits right now,motivation,tired,48,class want build better habit right,35
in class i hate how i look and it is affecting me,self_esteem,hopeless,49,class hate look affecting,25
sometimes i cannot focus on studying,academic_pressure,anxious,36,sometimes focus studying,24
sometimes are you there these days,greeting,neutral,34,sometimes day,13
sometimes i am scared i will disappoint everyone please help me,self_esteem,sad,63,sometimes scared disappoint everyone please help,48
at night i feel burned out and i want to feel better,stress,stressed,52,night feel burned want feel better,34
sometimes work is overwhelming please help me,stress,frustrated,45,sometimes work overwhelming please help,39
sometimes i feel alone even around people lately,loneliness,sad,48,sometimes feel alone even around people lately,46
i procrastinated and exams are near these days,academic_pressure,overwhelmed,46,procrastinated exam near day,28
at home i feel panic building up and i need help,anxiety,worried,48,home feel panic building need help,34
in class thank you for listening and it is affecting me,gratitude,content,55,class thank listening affecting,31
at night i feel more confident,positive,happy,30,night feel confident,20
at night i feel more confident but i do not know what to do,positive,content,59,night feel confident know,25
at home i need motivation,motivation,neutral,25,home need motivation,20
i finally made progress and it is affecting me,positive,determined,46,finally made progress affecting,31
at home i want to hit something these days,anger,frustrated,42,home want hit something day,27
i need company but i do not know what to do,loneliness,down,43,need company know,17
sometimes i keep comparing myself to others please help me,self_esteem,sad,58,sometimes keep comparing others please help,43
my heart feels heavy these days,sadness,depressed,31,heart feel heavy day,20
sometimes thank you for listening lately,gratitude,grateful,40,sometimes thank listening lately,32
in class i appreciate my family and i need help,gratitude,happy,47,class appreciate family need help,33
at night how can i start again these days,motivation,neutral,41,night start day,15
